Epoch 	 Time(sec) 	 Loss_train 	 Accuracy 	 Precision 	 Recall 	 Sensitivity 	 Specificity 	 MCC 	 F1-score 	 ROC_AUC 	 AUC 	 Q9 	 PPV 	 NPV 	 TP 	 FP 	 TN 	 FN
0	164.7675612000021	538.6532114604488	0.6921658986175115	0.7186192461102309	0.9135638285723885	0.9135638285723885	0.19219219161503848	0.15069968418785606	0.8044496482409544	0.7501996677528592	1.0	0.4255330010016649	0.7186192461102309	0.49612402716182924	687	269	64	65
1	330.47833569999784	489.6493132361211	0.7235023041474654	0.7919896630594448	0.8151595733840963	0.8151595733840963	0.5165165149654158	0.33829418176694515	0.8034076010462597	0.7972094434860392	1.0	0.6339929907008999	0.7919896630594448	0.5530546606011104	613	161	172	139
2	493.57159089999914	460.0191454051528	0.727188940092166	0.7355371893227921	0.946808509379244	0.946808509379244	0.23123123053684316	0.26473867046412086	0.8279069762628447	0.8008833301386493	1.0	0.45509874547090423	0.7355371893227921	0.6581196524947038	712	256	77	40
3	660.1456703000003	459.794621916255	0.744700460829493	0.8368794314370505	0.7845744670417892	0.7845744670417892	0.6546546526887248	0.42465457587291267	0.8098833213384465	0.8251629288863331	1.0	0.7121879368819726	0.8368794314370505	0.5736842090166205	590	115	218	162
4	823.9952056999973	410.8263585814275	0.7705069124423963	0.8304862012739997	0.8404255307973065	0.8404255307973065	0.6126126107729352	0.4565632735938324	0.8354263048014366	0.8450218835857134	1.0	0.7037458871412328	0.8304862012739997	0.6296296276863284	632	129	204	120
5	989.332451000002	393.25680671000737	0.7935483870967742	0.8341772141339528	0.8763297860687104	0.8763297860687104	0.6066066047849652	0.5006064238789951	0.8547341109891478	0.8537912912912913	1.0	0.7084072330362545	0.8341772141339528	0.6847457603906923	659	131	202	93
6	1154.6402259000024	396.08821042240015	0.8092165898617512	0.8311057098042458	0.9095744668755659	0.9095744668755659	0.5825825808330853	0.5303763924768832	0.8685714280199546	0.8829787234042553	1.0	0.6979949692591877	0.8311057098042458	0.740458012441	684	139	194	68
7	1317.1134108999977	378.33356644923333	0.8221198156682028	0.8625162115920672	0.8843085094623557	0.8843085094623557	0.6816816796345896	0.5756359773979028	0.8732764275290371	0.8890765765765766	1.0	0.7605098410291864	0.8625162115920672	0.7229299340034079	665	106	227	87
8	1482.0458446999983	341.5534840564651	0.8202764976958525	0.8809849509152052	0.8563829775845971	0.8563829775845971	0.7387387365203041	0.5854320796594426	0.8685097768924411	0.8973627883202351	1.0	0.7891881224454049	0.8809849509152052	0.6949152522742507	644	87	246	108
9	1646.7162538999983	319.08915411081034	0.8294930875576036	0.873517785410385	0.8816489349978073	0.8816489349978073	0.7117117095744393	0.5969254414491293	0.8775645262226575	0.9070626477541371	1.0	0.779639940694969	0.873517785410385	0.7269938628006323	663	96	237	89
