Epoch 	 Time(sec) 	 Loss_train 	 Accuracy 	 Precision 	 Recall 	 Sensitivity 	 Specificity 	 MCC 	 F1-score 	 ROC_AUC 	 AUC 	 Q9 	 PPV 	 NPV 	 TP 	 FP 	 TN 	 FN
0	175.4976313	555.2808957835659	0.7081031307550645	0.7159090901695154	0.9428571415743441	0.9428571415743441	0.21652421590733842	0.2395278807961412	0.8138578973494668	0.7671918910014147	1.0	0.4445274041793593	0.7159090901695154	0.6440677911519679	693	275	76	42
1	347.92507359999996	495.4376431815326	0.6731123388581952	0.7729885046365108	0.731972788119765	0.731972788119765	0.5498575482910042	0.2747565455469493	0.7519217325283565	0.7530554101982674	1.0	0.6295497258776193	0.7729885046365108	0.49487179360289285	538	158	193	197
2	524.424927	481.20363529608585	0.6933701657458563	0.8615107898174267	0.6517006793854413	0.6517006793854413	0.7806267784027727	0.40451508282458426	0.7420604177056077	0.7944492896873849	1.0	0.7089355522387848	0.8615107898174267	0.5169811311000356	479	77	274	256
3	697.333311	443.2098335545743	0.7283609576427256	0.79023746597594	0.8149659852857606	0.8149659852857606	0.5470085454501181	0.3687259642969506	0.8024112519742723	0.8112487160106208	1.0	0.6539950559065328	0.79023746597594	0.5853658518738846	599	159	192	136
4	873.0675573	415.8383371607342	0.7265193370165746	0.7300420160398718	0.945578230006016	0.945578230006016	0.26780626704328697	0.3034514535716493	0.823947835907559	0.8424482043529662	1.0	0.4808326905644782	0.7300420160398718	0.701492532078414	695	257	94	40
5	1047.2746372	395.3338066722208	0.7338858195211786	0.7352320667349873	0.948299318437688	0.948299318437688	0.2849002840886032	0.3274773939836083	0.8282828277906815	0.8517239374382232	1.0	0.49302832284421816	0.7352320667349873	0.7246376759084227	697	251	100	38
6	1223.2989167	394.77501574743656	0.7808471454880295	0.8437067761497832	0.8299319716599565	0.8299319716599565	0.6780626761308756	0.5036558768453985	0.8367626880406291	0.8741167122119504	1.0	0.7425443988416867	0.8437067761497832	0.6556473811139191	610	113	238	125
7	1399.1721015	367.6155224223039	0.8130755064456722	0.8333333322890559	0.9047619035309362	0.9047619035309362	0.6210826193131549	0.5571304498697912	0.867579908109863	0.8853189138903425	1.0	0.7237314034945366	0.8333333322890559	0.7569444418161652	665	133	218	70
8	1574.72394	335.92911026561524	0.8093922651933702	0.8211678822126911	0.9183673456892961	0.9183673456892961	0.5811965795407504	0.5446912859606098	0.8670520225645137	0.8980289551718122	1.0	0.698288056544619	0.8211678822126911	0.7727272698002755	675	147	204	60
9	1748.9462147	315.5022470921099	0.8379373848987108	0.8615782653795883	0.9061224477467722	0.9061224477467722	0.6951566931761918	0.6208854066781456	0.8832891240826994	0.9120181405895691	1.0	0.7744535135572076	0.8615782653795883	0.7795527131643684	666	107	244	69
10	1922.2041801	320.0856787620226	0.8278084714548803	0.8971014479752153	0.8421768696024805	0.8421768696024805	0.7977207954480889	0.621778380293008	0.8687719292148969	0.9191697191697192	1.0	0.8185819526597347	0.8971014479752153	0.707070705285175	619	71	280	116
11	2097.4490606	305.22664734514274	0.8388581952117864	0.8814713884448618	0.8802721076458883	0.8802721076458883	0.7521367499939124	0.6319399514728644	0.880871340448692	0.9266003837432408	1.0	0.8053580754794954	0.8814713884448618	0.7499999978693181	647	87	264	88
12	2274.8467437	299.3769169740019	0.8379373848987108	0.8480697374245707	0.9265306109843121	0.9265306109843121	0.6524216505629012	0.616863387490618	0.8855656691251198	0.9277361086884897	1.0	0.7487944480685149	0.8480697374245707	0.8091872762926244	681	122	229	54
13	2447.895317	269.2706786239505	0.858195211786372	0.8888888876989439	0.9034013593151002	0.9034013593151002	0.7635327613574565	0.6731626581617232	0.8960863691659335	0.9359342597437834	1.0	0.8193787788393068	0.8888888876989439	0.7905604696443644	664	83	268	71
14	2623.0015682	238.59502712234695	0.8462246777163904	0.8911845717752279	0.8802721076458883	0.8802721076458883	0.7749287727210007	0.6509567603170151	0.8856947290310097	0.9343644010310677	1.0	0.819733774272833	0.8911845717752279	0.7555555534567902	647	79	272	88
15	2795.6270397	274.8675743980847	0.850828729281768	0.8855989220920607	0.8952380940200843	0.8952380940200843	0.7578347556756845	0.657078704571353	0.8903924215897209	0.9351667732620113	1.0	0.8134268759945678	0.8855989220920607	0.77551020182067	658	85	266	77
16	2969.8016481	255.2476595183548	0.8591160220994475	0.884920633750105	0.9102040803942801	0.9102040803942801	0.7521367499939124	0.6735361195950843	0.8973843052331426	0.9430121906312383	1.0	0.8135871562944856	0.884920633750105	0.7999999975757576	669	87	264	66
17	3147.615965	255.58191559431236	0.8434622467771639	0.8319623962021594	0.963265304811884	0.963265304811884	0.5925925909042946	0.6313385346809337	0.8928121053639267	0.9401786925596448	1.0	0.7107507706624764	0.8319623962021594	0.8851063792123133	708	143	208	27
18	3323.7875781	242.73480817044106	0.8775322283609577	0.8992042428392517	0.9224489783368041	0.9224489783368041	0.7834757812436588	0.7166398096172497	0.9106783069773818	0.9473263949454425	1.0	0.8373702101277672	0.8992042428392517	0.8283132505171288	678	76	275	57
19	3499.6187277999998	242.57998266831635	0.8812154696132597	0.9139344249809639	0.9102040803942801	0.9102040803942801	0.8205128181751772	0.72910354412884	0.9120654390510801	0.9534469058278583	1.0	0.858086373882389	0.9139344249809639	0.8135593197357082	669	63	288	66
20	3674.7301226	219.8927293196533	0.8747697974217311	0.9385065872057005	0.8721088423508723	0.8721088423508723	0.8803418778337838	0.7284712511943509	0.9040902673454934	0.9546562784658021	1.0	0.8761569269166534	0.9385065872057005	0.7667493777500015	641	42	309	94
